txn_id,date,amount,description
TXN1028,2026-08-30,80175.87,Vendor Payment
TXN1054,2026-08-09,45088.44,Payout to Seller
TXN1011,2026-08-04,8337.02,NEFT Settlement
TXN1049,2026-08-04,79008.83,Refund Processed
TXN1021,2026-08-22,23059.63,NEFT Settlement
TXN1007,2026-08-08,38458.16,Refund Processed
TXN1026,2026-08-08,69946.07,Vendor Payment
TXN1009,2026-08-23,36210.92,Refund Processed
TXN1051,2026-08-03,62346.19,NEFT Settlement
TXN1052,2026-08-25,45513.67,Card Settlement
TXN1014,2026-08-18,11047.81,Payout to Seller
TXN1041,2026-08-25,54661.27,NEFT Settlement
TXN1033,2026-08-24,49897.52,Payout to Seller
TXN1044,2026-08-17,64885.81,NEFT Settlement
TXN1018,2026-08-03,72774.35,NEFT Settlement
TXN1045,2026-08-28,53337.87,Subscription Renewal
TXN1043,2026-08-01,81094.95,Refund Processed
TXN1010,2026-08-05,18694.01,Vendor Payment
TXN1037,2026-08-26,58000.66,NEFT Settlement
TXN1024,2026-08-30,54578.98,Subscription Renewal
TXN1027,2026-08-13,23124.1,Subscription Renewal
TXN1024,2026-08-30,54578.98,Subscription Renewal
TXN1004,2026-08-19,36152.39,UPI/Merchant Payout
TXN1031,2026-08-05,22882.37,Subscription Renewal
TXN1035,2026-08-17,42202.09,UPI/Merchant Payout
TXN1008,2026-08-26,73955.88,Card Settlement
TXN1047,2026-08-18,81070.73,UPI/Merchant Payout
TXN1050,2026-08-08,5394.68,NEFT Settlement
TXN1019,2026-08-13,23988.77,Vendor Payment
TXN1042,2026-08-10,37236.66,Wallet Topup Settlement
TXN1002,2026-08-08,19361.31,NEFT Settlement
TXN1038,2026-08-13,32746.83,Wallet Topup Settlement
TXN1025,2026-08-22,27901.89,UPI/Merchant Payout
TXN1046,2026-08-05,32099.47,Card Settlement
TXN1039,2026-08-17,21744.49,UPI/Merchant Payout
TXN1055,2026-08-07,78993.19,Subscription Renewal
TXN1050,2026-08-08,5394.68,NEFT Settlement
TXN1048,2026-08-20,27891.19,UPI/Merchant Payout
TXN1016,2026-08-19,16748.39,NEFT Settlement
TXN1012,2026-08-12,72113.27,Refund Processed
TXN1036,2026-08-28,9765.35,Card Settlement
TXN1040,2026-08-22,61400.99,Refund Processed
TXN1032,2026-08-24,47935.61,Refund Processed
TXN1023,2026-08-06,39560.99,Refund Processed
TXN1034,2026-08-12,19032.6,Card Settlement
TXN1020,2026-08-06,31765.29,Subscription Renewal
TXN1053,2026-08-05,56248.94,Card Settlement
TXN1001,2026-08-21,9907.48,Refund Processed
TXN1029,2026-08-07,55884.57,Payout to Seller
TXN1013,2026-08-26,4171.56,Wallet Topup Settlement
TXN1006,2026-08-18,17301.78,Payout to Seller
TXN1030,2026-08-29,77779.27,Wallet Topup Settlement
TXN1017,2026-08-02,56376.75,Refund Processed
