txn_id,date,amount,description
TXN1049,2026-08-04,79008.83,Refund Processed
TXN1003,2026-08-22,63086.42,NEFT Settlement
TXN1022,2026-08-21,54155.67,Subscription Renewal
TXN1047,2026-08-18,81070.73,UPI/Merchant Payout
TXN1024,2026-08-30,54579.98,Subscription Renewal
TXN1011,2026-08-04,8337.02,NEFT Settlement
TXN1013,2026-08-26,4171.56,Wallet Topup Settlement
TXN1039,2026-08-17,21744.49,UPI/Merchant Payout
TXN1001,2026-08-21,9907.48,Refund Processed
TXN1036,2026-08-29,9765.35,Card Settlement
TXN1018,2026-08-03,72774.35,NEFT Settlement
TXN1027,2026-08-13,23124.1,Subscription Renewal
TXN1046,2026-08-05,32095.72,Card Settlement
TXN1021,2026-08-22,23059.63,NEFT Settlement
TXN1053,2026-08-05,56248.94,Card Settlement
TXN1023,2026-08-06,39560.99,Refund Processed
TXN1052,2026-08-25,45513.67,Card Settlement
TXN1006,2026-08-18,17301.78,Payout to Seller
TXN1054,2026-08-09,45088.44,Payout to Seller
TXN1005,2026-08-04,18974.91,UPI/Merchant Payout
TXN1016,2026-08-19,16748.39,NEFT Settlement
TXN1020,2026-08-06,31780.29,Subscription Renewal
TXN1031,2026-08-05,22882.37,Subscription Renewal
TXN1055,2026-08-07,78993.19,Subscription Renewal
TXN1009,2026-08-23,36210.92,Refund Processed
TXN1035,2026-08-17,42202.09,UPI/Merchant Payout
TXN1028,2026-08-30,80175.87,Vendor Payment
TXN1012,2026-08-12,72113.27,Refund Processed
TXN1026,2026-08-08,69942.32,Vendor Payment
TXN1044,2026-08-17,64885.81,NEFT Settlement
TXN1002,2026-08-09,19361.31,NEFT Settlement
TXN1042,2026-08-10,37237.66,Wallet Topup Settlement
TXN1004,2026-08-19,36152.39,UPI/Merchant Payout
TXN1032,2026-08-24,47935.61,Refund Processed
TXN1045,2026-08-28,53337.87,Subscription Renewal
TXN1041,2026-08-25,54661.27,NEFT Settlement
TXN1025,2026-08-22,27901.89,UPI/Merchant Payout
TXN1030,2026-08-29,77779.27,Wallet Topup Settlement
TXN1043,2026-08-01,81097.45,Refund Processed
TXN1008,2026-08-26,73955.88,Card Settlement
TXN1014,2026-08-18,11047.81,Payout to Seller
TXN1029,2026-08-07,55884.57,Payout to Seller
TXN1048,2026-08-20,27891.19,UPI/Merchant Payout
TXN1017,2026-08-02,56376.75,Refund Processed
TXN1033,2026-08-24,49897.52,Payout to Seller
TXN1051,2026-08-03,62346.19,NEFT Settlement
TXN1040,2026-08-22,61400.99,Refund Processed
TXN1050,2026-08-08,5394.68,NEFT Settlement
TXN1010,2026-08-05,18694.01,Vendor Payment
TXN1038,2026-08-14,32746.83,Wallet Topup Settlement
TXN1015,2026-08-03,47147.43,Vendor Payment
TXN1034,2026-08-12,19032.6,Card Settlement
